built custom GPT: n_layer=48, n_head=12, n_embd=1536, head_dim=128, block_size=16384
  (1462M params, FP16, [B, S, H, D] cache) on cuda
warming up ...

=== custom ([B,S,H,D] cache, head_dim=128, block_size=16384) | FP16 | PREFILL | median of 5 ===
     S    SDPA(ms)    FA3(ms)   FA3/SDPA
   128        6.64       7.23      0.92x
   512        7.46       7.85      0.95x
  2048       19.22      15.80      1.22x
  4096       39.45      32.84      1.20x
  8192       94.54      72.47      1.30x
 16384      241.47     175.84      1.37x

=== custom ([B,S,H,D] cache, head_dim=128, block_size=16384) | FP16 | CACHED DECODE TPOT | N=50 | median of 5 ===
 S_pre    SDPA(ms)    FA3(ms)   FA3/SDPA
   128        8.53       8.62      0.99x
   512        8.52       8.66      0.98x
  2048        8.52       8.89      0.96x
  4096        8.57       8.92      0.96x
